epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,79.3011,1.32486,1.06346,1.40785,0.85658,0.86667,0.93369,0.59732,1.22781,1.05419,1.23637,0.000731676,0.000731676,0.0137317
23,82.7553,1.3026,1.11024,1.37855,0.97161,0.86667,0.9508,0.63036,1.19513,1.03851,1.18547,0.000752094,0.000752094,0.00975209
24,86.2302,1.2523,1.03273,1.33188,0.93212,0.9164,0.98033,0.61487,1.22669,1.14088,1.2007,0.000770879,0.000770879,0.00577088
25,89.7415,1.3348,1.1117,1.40757,0.93326,1,0.99125,0.56925,1.33745,1.2256,1.26265,0.000787994,0.000787994,0.00178799
26,93.1677,1.21341,1.05112,1.32822,0.95387,1,0.995,0.53166,1.52956,1.44105,1.48088,0.000780007,0.000780007,0.000780007
27,96.7223,1.35769,1.10481,1.37183,0.95344,1,0.995,0.53699,1.48532,1.39606,1.51763,0.000763637,0.000763637,0.000763637
28,100.247,1.31205,1.07456,1.33907,0.98931,1,0.995,0.5799,1.35625,1.28074,1.38017,0.000746868,0.000746868,0.000746868
29,103.833,1.28069,1.11297,1.34484,0.99296,1,0.995,0.60264,1.24886,1.06548,1.31015,0.000729725,0.000729725,0.000729725
30,107.346,1.2977,1.0259,1.32599,0.91725,0.93333,0.94979,0.59232,1.23586,1.01461,1.25461,0.000712237,0.000712237,0.000712237
31,110.793,1.34403,1.0694,1.38644,0.92791,0.93333,0.97567,0.57047,1.33157,0.99317,1.27396,0.000694428,0.000694428,0.000694428
32,114.287,1.23966,1.03663,1.32527,0.99387,1,0.995,0.60051,1.29037,0.95732,1.27558,0.000676328,0.000676328,0.000676328
33,117.747,1.30165,1.10351,1.38472,0.99186,1,0.995,0.61391,1.22328,0.94664,1.27489,0.000657963,0.000657963,0.000657963
34,121.334,1.31529,1.09528,1.37654,0.88015,1,0.97471,0.60316,1.16862,1.03576,1.28525,0.000639363,0.000639363,0.000639363
35,124.842,1.29172,0.96183,1.36275,0.88682,0.93333,0.95104,0.60906,1.14623,1.23983,1.25706,0.000620555,0.000620555,0.000620555
36,128.3,1.23309,0.99286,1.33919,0.819,1,0.93323,0.5591,1.1215,1.30698,1.20881,0.00060157,0.00060157,0.00060157
37,131.89,1.33939,1.14749,1.44027,0.83016,1,0.93799,0.56246,1.12421,1.48558,1.19093,0.000582435,0.000582435,0.000582435
38,135.359,1.19558,0.99724,1.32577,0.82873,1,0.95167,0.52455,1.25142,1.4369,1.24656,0.000563181,0.000563181,0.000563181
39,138.825,1.26819,1.03519,1.41314,0.87561,1,0.94981,0.47877,1.35488,1.21167,1.29465,0.000543837,0.000543837,0.000543837
40,142.241,1.201,0.96858,1.30414,0.99252,1,0.995,0.46982,1.47281,1.14585,1.33052,0.000524434,0.000524434,0.000524434
41,145.718,1.15858,0.96279,1.28389,0.99087,1,0.995,0.47738,1.68633,1.06541,1.43443,0.000505,0.000505,0.000505
42,149.188,1.24743,0.99962,1.33402,0.99187,1,0.995,0.44416,1.77748,0.99555,1.50057,0.000485566,0.000485566,0.000485566
43,152.632,1.26837,0.91425,1.31665,0.92551,0.93333,0.9365,0.47709,1.7156,0.92287,1.4611,0.000466163,0.000466163,0.000466163
