epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.31738,1.74027,3.26669,1.70245,0.00406,0.88636,0.0398,0.01014,2.58713,3.64079,2.70168,8e-05,8e-05,0.09208
2,17.6286,1.50445,2.49209,1.45848,0.00282,0.71212,0.12764,0.05033,2.70089,3.49139,2.81816,0.000169834,0.000169834,0.0831698
3,25.9167,1.55305,2.07486,1.45611,0.00347,0.87879,0.50811,0.2201,2.03067,2.94771,1.95384,0.000258985,0.000258985,0.074259
4,34.1297,1.61217,1.8185,1.49212,0.00562,0.9697,0.53475,0.20912,1.87428,2.91142,1.77325,0.000346931,0.000346931,0.0653469
5,42.3158,1.51588,1.60671,1.45421,0.71893,0.1864,0.68233,0.27472,1.97324,2.52518,1.72889,0.000433157,0.000433157,0.0564332
6,50.5183,1.42047,1.47331,1.40735,0.89158,0.55699,0.90378,0.50035,1.34775,1.59294,1.27194,0.00051716,0.00051716,0.0475172
7,58.6264,1.45496,1.47673,1.40497,0.94277,0.60606,0.99,0.52098,1.63834,1.36569,1.54031,0.000598448,0.000598448,0.0385984
8,66.7226,1.30957,1.3373,1.3154,0.90938,0.61959,0.99038,0.5289,1.55104,1.40612,1.5088,0.000676551,0.000676551,0.0296766
9,74.8064,1.34863,1.2833,1.36792,0.58131,0.89918,0.93937,0.47305,1.61008,1.57688,1.44072,0.000751017,0.000751017,0.020751
10,82.9018,1.3571,1.2668,1.33313,0.76845,0.82738,0.86723,0.45009,1.76224,1.14388,1.55932,0.000821419,0.000821419,0.0118214
11,90.848,1.40317,1.3312,1.3833,0.89265,0.80964,0.89523,0.51957,1.50843,1.27064,1.38155,0.000887354,0.000887354,0.00288735
12,99.0643,1.38753,1.35764,1.41709,0.89742,0.79612,0.90509,0.4791,1.44387,1.18513,1.43371,0.000886404,0.000886404,0.000886404
13,107.001,1.35312,1.22683,1.33518,0.78888,0.8174,0.95118,0.61244,1.32115,1.81353,1.32814,0.000865839,0.000865839,0.000865839
