epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,115.117,1.43027,1.28121,1.42703,0.84136,0.83086,0.94892,0.62272,1.24854,1.83267,1.31892,0.000843851,0.000843851,0.000843851
15,123.207,1.3089,1.18868,1.36707,0.8359,0.92085,0.94117,0.45539,1.66487,1.47049,1.56149,0.000820525,0.000820525,0.000820525
16,131.324,1.32506,1.29891,1.36495,0.90664,0.76263,0.89311,0.39686,1.65626,1.41077,1.63998,0.000795954,0.000795954,0.000795954
17,139.405,1.35104,1.17341,1.38854,0.84594,0.82071,0.87961,0.47887,1.44967,1.3663,1.45152,0.000770234,0.000770234,0.000770234
18,147.486,1.2396,1.10938,1.3073,0.94554,0.90909,0.94292,0.58166,1.34996,1.20343,1.36546,0.000743468,0.000743468,0.000743468
19,155.625,1.21321,1.04711,1.32175,0.96051,1,0.9925,0.60873,1.34222,1.13613,1.32815,0.000715761,0.000715761,0.000715761
20,163.713,1.24586,1.10338,1.31852,0.97387,0.99211,0.995,0.57039,1.50799,1.06197,1.39431,0.000687222,0.000687222,0.000687222
21,171.879,1.27734,1.14466,1.34391,0.97644,0.9624,0.99038,0.68253,1.19393,0.90181,1.18941,0.000657963,0.000657963,0.000657963
22,179.861,1.30213,1.15455,1.35626,0.9274,0.87444,0.94173,0.66097,1.21459,1.22613,1.20771,0.000628101,0.000628101,0.000628101
23,187.967,1.2366,1.0249,1.29051,0.89636,0.96215,0.95143,0.66915,1.25659,1.20709,1.23849,0.000597754,0.000597754,0.000597754
24,196.157,1.22253,1.03997,1.28218,0.92152,0.99925,0.99,0.68896,1.20041,0.9689,1.24948,0.00056704,0.00056704,0.00056704
25,204.185,1.23764,1.01713,1.26117,0.97117,0.99389,0.995,0.70674,1.15011,0.95181,1.22989,0.000536081,0.000536081,0.000536081
26,212.356,1.18349,1.0435,1.27923,0.95274,1,0.9925,0.71845,1.13256,0.90386,1.20862,0.000505,0.000505,0.000505
27,220.361,1.17485,0.98749,1.26648,0.93529,1,0.99038,0.70973,1.13364,0.87981,1.20774,0.000473919,0.000473919,0.000473919
28,228.366,1.1192,0.94031,1.22398,0.95471,0.9697,0.98766,0.68629,1.13487,0.82518,1.17118,0.00044296,0.00044296,0.00044296
29,236.381,1.15659,0.97776,1.23185,0.88877,0.9697,0.9822,0.69869,1.07143,0.80625,1.1287,0.000412246,0.000412246,0.000412246
30,244.502,1.12724,0.90509,1.19659,0.89592,0.9697,0.98015,0.70703,1.01397,0.78721,1.1037,0.000381899,0.000381899,0.000381899
31,252.583,1.15028,0.95319,1.23057,0.97209,0.9697,0.9925,0.65811,1.06332,0.79336,1.12083,0.000352037,0.000352037,0.000352037
32,260.568,1.12484,0.92908,1.22483,0.96476,0.99445,0.995,0.62665,1.19911,0.77823,1.16154,0.000322778,0.000322778,0.000322778
33,268.594,1.08208,0.93675,1.19845,0.96689,0.99574,0.995,0.65736,1.21201,0.74491,1.16784,0.000294239,0.000294239,0.000294239
34,276.568,1.11646,0.85364,1.19122,0.9744,1,0.995,0.68729,1.18836,0.71972,1.18144,0.000266532,0.000266532,0.000266532
35,284.632,1.11319,0.88748,1.22405,0.97821,1,0.995,0.70001,1.15773,0.71268,1.1644,0.000239766,0.000239766,0.000239766
36,292.615,1.11039,0.91644,1.23568,0.98159,0.99863,0.995,0.70727,1.11959,0.68514,1.13647,0.000214046,0.000214046,0.000214046
37,300.626,1.07954,0.8244,1.19078,0.9847,0.99735,0.995,0.70121,1.12144,0.67849,1.11745,0.000189475,0.000189475,0.000189475
38,308.778,1.09161,0.88697,1.20862,0.98209,0.99597,0.995,0.707,1.06331,0.65969,1.07646,0.000166149,0.000166149,0.000166149
39,316.705,1.06947,0.81106,1.17935,0.97807,0.99608,0.995,0.72115,0.99741,0.63103,1.04128,0.000144161,0.000144161,0.000144161
40,324.759,1.07819,0.8337,1.19177,0.9779,0.99647,0.995,0.72456,0.98844,0.64216,1.03586,0.000123596,0.000123596,0.000123596
41,332.517,0.93289,0.88544,1.16709,0.98341,0.99647,0.995,0.73688,0.99403,0.64789,1.04327,0.000104537,0.000104537,0.000104537
42,340.24,0.89282,0.8373,1.09838,0.98911,0.99498,0.995,0.73988,0.98092,0.64421,1.0434,8.70577e-05,8.70577e-05,8.70577e-05
43,347.975,0.84664,0.74672,1.08721,0.99018,0.99173,0.995,0.73251,0.98308,0.64585,1.05168,7.12282e-05,7.12282e-05,7.12282e-05
44,355.786,0.87541,0.76468,1.11008,0.97965,0.97511,0.995,0.73755,0.96994,0.64944,1.05943,5.71106e-05,5.71106e-05,5.71106e-05
45,363.564,0.84028,0.74691,1.12792,0.9533,0.99766,0.995,0.74435,0.96495,0.65246,1.06247,4.47606e-05,4.47606e-05,4.47606e-05
46,371.295,0.86141,0.73316,1.0893,0.95202,0.99719,0.995,0.75229,0.95554,0.65327,1.06207,3.4227e-05,3.4227e-05,3.4227e-05
47,379.032,0.8955,0.74547,1.0992,0.95415,0.99728,0.995,0.75142,0.96196,0.65131,1.06436,2.55513e-05,2.55513e-05,2.55513e-05
48,386.796,0.89851,0.73768,1.14441,0.95876,1,0.995,0.74325,0.95655,0.64728,1.06209,1.87678e-05,1.87678e-05,1.87678e-05
49,394.487,0.8181,0.70202,1.10581,0.97767,0.99902,0.995,0.75183,0.94774,0.64637,1.05946,1.39032e-05,1.39032e-05,1.39032e-05
50,402.136,0.81077,0.68431,1.06283,0.98492,1,0.995,0.75158,0.95057,0.63527,1.06063,1.09768e-05,1.09768e-05,1.09768e-05
