epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,75.9537,1.39841,1.27513,1.40026,0.72318,0.73333,0.75799,0.51056,1.17139,1.07852,1.2529,0.000709665,0.000709665,0.0177097
22,79.4896,1.29932,1.12808,1.30927,0.64416,0.84554,0.85122,0.53945,1.21066,1.1343,1.28772,0.000731676,0.000731676,0.0137317
23,83.1181,1.3792,1.20518,1.38558,0.67692,0.8,0.86603,0.53627,1.31791,1.34372,1.34358,0.000752094,0.000752094,0.00975209
24,86.6669,1.43058,1.1728,1.45586,0.70508,0.93333,0.87531,0.54085,1.28423,1.55294,1.28249,0.000770879,0.000770879,0.00577088
25,90.2314,1.33603,1.20592,1.40201,0.73509,0.86667,0.89309,0.52247,1.31582,1.49236,1.29776,0.000787994,0.000787994,0.00178799
26,93.7645,1.2406,1.05928,1.30557,0.75603,0.8,0.89156,0.55827,1.33783,1.39326,1.34963,0.000780007,0.000780007,0.000780007
27,97.2844,1.35653,1.18482,1.35158,0.73481,0.92405,0.91705,0.53563,1.32218,1.33888,1.35098,0.000763637,0.000763637,0.000763637
28,100.823,1.32439,1.05309,1.36114,0.84635,0.86667,0.93051,0.59316,1.28897,1.17337,1.33352,0.000746868,0.000746868,0.000746868
29,104.436,1.39036,1.11096,1.35094,0.9673,0.86667,0.9623,0.69309,1.18311,1.05837,1.2625,0.000729725,0.000729725,0.000729725
30,107.947,1.27721,1.02238,1.29198,0.97635,0.86667,0.96763,0.66837,1.17634,1.1138,1.25957,0.000712237,0.000712237,0.000712237
31,111.478,1.43217,1.09153,1.41437,0.97134,0.86667,0.97333,0.62955,1.31649,1.08635,1.31562,0.000694428,0.000694428,0.000694428
32,114.983,1.23985,0.95225,1.30075,0.87195,1,0.98327,0.58686,1.37351,1.01826,1.3313,0.000676328,0.000676328,0.000676328
33,118.501,1.29971,0.97455,1.33353,0.96602,1,0.995,0.58283,1.40408,1.04855,1.35104,0.000657963,0.000657963,0.000657963
34,122.05,1.32539,1.02661,1.32442,0.99096,1,0.995,0.60313,1.3619,1.0496,1.30306,0.000639363,0.000639363,0.000639363
35,125.594,1.17654,0.94513,1.25408,0.98898,1,0.995,0.57911,1.42804,1.07521,1.319,0.000620555,0.000620555,0.000620555
36,129.084,1.35786,1.14849,1.40052,0.98396,1,0.995,0.55254,1.52097,1.09263,1.34509,0.00060157,0.00060157,0.00060157
37,132.781,1.26872,0.9879,1.2893,1,0.99978,0.995,0.53639,1.5157,1.12174,1.31565,0.000582435,0.000582435,0.000582435
38,136.353,1.22781,0.9837,1.31847,0.87054,0.93333,0.97167,0.56305,1.45923,1.11624,1.29382,0.000563181,0.000563181,0.000563181
39,139.82,1.23743,0.99206,1.27086,0.90342,0.93333,0.967,0.51886,1.42106,1.10341,1.28501,0.000543837,0.000543837,0.000543837
40,143.433,1.27063,0.9979,1.28372,0.93665,0.98646,0.97875,0.52571,1.42019,1.00671,1.30873,0.000524434,0.000524434,0.000524434
41,147.035,1.32549,1.03949,1.3872,0.9332,1,0.9825,0.50822,1.46602,0.95506,1.35843,0.000505,0.000505,0.000505
42,150.624,1.23043,0.98568,1.29168,0.99441,1,0.995,0.51798,1.49015,0.8706,1.37252,0.000485566,0.000485566,0.000485566
43,154.218,1.21853,0.88643,1.26442,0.99501,1,0.995,0.52399,1.49751,0.82251,1.37043,0.000466163,0.000466163,0.000466163
44,157.75,1.2653,0.98534,1.30473,0.99479,1,0.995,0.53597,1.49507,0.81353,1.35979,0.000446819,0.000446819,0.000446819
45,161.36,1.2115,0.96193,1.29707,0.99288,1,0.995,0.58437,1.42259,0.77191,1.30572,0.000427565,0.000427565,0.000427565
46,164.9,1.17302,0.89972,1.25015,0.98938,1,0.995,0.62617,1.38071,0.7427,1.2778,0.00040843,0.00040843,0.00040843
47,168.451,1.21395,0.97523,1.33978,0.99142,1,0.995,0.6267,1.4355,0.78457,1.29994,0.000389445,0.000389445,0.000389445
48,171.992,1.26809,0.89968,1.3147,0.9279,1,0.98688,0.56975,1.55431,0.81408,1.39209,0.000370637,0.000370637,0.000370637
49,175.581,1.23943,0.95431,1.32739,0.93687,0.98998,0.97875,0.52762,1.74533,0.94,1.50979,0.000352037,0.000352037,0.000352037
