                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.091,                0.87427,                 1.3184,                0.98603,                0.99891,                  0.995,                0.55557,                 1.9359,                 1.0626,                 2.0394,             0.00023977,             0.00023977,             0.00023977
                     36,                 1.0642,                0.83607,                 1.3175,                0.98012,                0.99627,                  0.995,                0.55319,                 1.9179,                0.94419,                 2.0207,             0.00021405,             0.00021405,             0.00021405
                     37,                 1.1545,                0.91029,                 1.3516,                0.97763,                0.99633,                  0.995,                0.55507,                 1.8605,                0.92841,                 1.9481,             0.00018948,             0.00018948,             0.00018948
                     38,                 1.1047,                0.85846,                 1.3409,                0.97624,                0.99691,                  0.995,                 0.5912,                 1.6686,                0.90348,                 1.7516,             0.00016615,             0.00016615,             0.00016615
                     39,                 1.1144,                0.86974,                 1.3528,                0.97324,                0.99638,                  0.995,                0.63284,                 1.5079,                0.86308,                 1.6145,             0.00014416,             0.00014416,             0.00014416
                     40,                 1.0992,                0.84669,                  1.314,                0.97218,                0.99607,                  0.995,                0.65159,                 1.4551,                0.83899,                 1.5701,              0.0001236,              0.0001236,              0.0001236
                     41,                0.86599,                0.90663,                 1.2638,                0.97024,                0.99542,                  0.995,                0.64746,                 1.4138,                0.86818,                 1.5387,             0.00010454,             0.00010454,             0.00010454
                     42,                 0.9586,                0.82367,                 1.3378,                0.97001,                0.99491,                  0.995,                0.64492,                 1.3772,                0.85941,                 1.5196,             8.7058e-05,             8.7058e-05,             8.7058e-05
                     43,                0.95276,                0.84207,                 1.3452,                0.97366,                 0.9697,                 0.9925,                0.65216,                 1.3564,                0.83204,                 1.5133,             7.1228e-05,             7.1228e-05,             7.1228e-05
                     44,                0.94112,                0.77443,                 1.3227,                0.97809,                 0.9697,                 0.9925,                0.64863,                 1.3709,                0.81595,                 1.5319,             5.7111e-05,             5.7111e-05,             5.7111e-05
                     45,                 0.9198,                0.78454,                 1.3112,                0.97777,                 0.9697,                 0.9925,                0.65475,                 1.3734,                0.79217,                 1.5366,             4.4761e-05,             4.4761e-05,             4.4761e-05
                     46,                0.98522,                 0.8255,                 1.3677,                0.97607,                 0.9697,                 0.9925,                 0.6652,                 1.3616,                0.77952,                 1.5347,             3.4227e-05,             3.4227e-05,             3.4227e-05
                     47,                0.95048,                0.77914,                 1.3417,                0.97482,                 0.9697,                 0.9925,                0.67313,                 1.3459,                0.76792,                 1.5325,             2.5551e-05,             2.5551e-05,             2.5551e-05
                     48,                0.89703,                0.73941,                 1.2752,                0.97426,                 0.9697,                 0.9925,                0.67457,                 1.3093,                0.75025,                 1.5198,             1.8768e-05,             1.8768e-05,             1.8768e-05
                     49,                0.90881,                 0.7412,                 1.2888,                0.97454,                 0.9697,                 0.9925,                0.67897,                  1.299,                 0.7431,                 1.5136,             1.3903e-05,             1.3903e-05,             1.3903e-05
                     50,                0.95139,                0.74033,                 1.3196,                0.97453,                 0.9697,                 0.9925,                0.68084,                 1.2829,                0.74583,                  1.498,             1.0977e-05,             1.0977e-05,             1.0977e-05
